,station_origin,station_destination,flows,distance
0,Abbey Road,Monument,0,6726.864645897896
1,Abbey Road,Beckton,1,5846.781618739256
2,Abbey Road,Blackwall,3,1988.3476591018125
3,Abbey Road,Canary Wharf,1,3019.133615375181
4,Abbey Road,Canning Town,37,421.07319549313246
5,Abbey Road,Crossharbour,1,4219.305014550108
6,Abbey Road,Custom House,0,1210.282422055015
7,Abbey Road,Cutty Sark,2,6012.476504734236
8,Abbey Road,Cyprus,7,3880.3445291063363
9,Abbey Road,Devons Road,1,3407.2523622870403
10,Abbey Road,East India,2,1605.4506972294266
11,Abbey Road,Island Gardens,2,5226.438766514525
12,Abbey Road,King George V,5,4669.338810490289
13,Abbey Road,Langdon Park,8,3198.9191750993004
14,Abbey Road,Lewisham,0,8697.031510952498
15,Abbey Road,Limehouse,2,3591.74929060882
16,Abbey Road,London City Airport,4,3643.6372308818845
17,Abbey Road,Pontoon Dock,8,2508.163224312548
18,Abbey Road,Poplar,0,2371.460078081083
19,Abbey Road,Prince Regent,1,1714.6411309813757
20,Abbey Road,Royal Albert,4,2597.1776011296943
21,Abbey Road,Shadwell,1,4787.470334661791
22,Abbey Road,South Quay,7,3630.5322785637945
23,Abbey Road,Star Lane,7,412.36472810243004
24,Abbey Road,Stratford,285,327.0499118658518
25,Abbey Road,Stratford High Street,10,648.1024775518651
26,Abbey Road,Stratford International,33,2206.0181333914975
27,Abbey Road,West Ham,130,191.6488302010993
28,Abbey Road,West Silvertown,2,1760.6586724970966
29,Abbey Road,Westferry,3,2624.0459890231823
30,Abbey Road,Woolwich Arsenal,32,7092.754838802335
31,Acton Central,Barking,0,21432.55162419756
32,Acton Central,Blackhorse Road,0,17889.554100894275
33,Acton Central,Brondesbury,76,3574.903476738533
34,Acton Central,Brondesbury Park,31,2838.9787582245017
35,Acton Central,Bushey,0,17355.583089627027
36,Acton Central,Caledonian Road & Barnsbury,22,11046.750267133273
37,Acton Central,Camden Road,52,9290.641682301664
38,Acton Central,Canada Water,0,14735.488077445105
39,Acton Central,Canonbury,3,12692.165742279109
40,Acton Central,Carpenders Park,0,15405.323403776227
41,Acton Central,Crouch Hill,2,10418.442217209526
42,Acton Central,Dalston Kingsland,5,12994.122095709665
43,Acton Central,Denmark Hill,0,12497.559690428754
44,Acton Central,Edmonton Green,0,25132.839684731873
45,Acton Central,Euston,17,8884.845429032914
46,Acton Central,Finchley Road & Frognal,52,4965.55780167139
47,Acton Central,Gospel Oak,18,7313.246301726564
48,Acton Central,Gunnersbury,102,11453.2935178191
49,Acton Central,Hackney Central,10,14281.094228756665
50,Acton Central,Hackney Wick,5,16646.200916241392
51,Acton Central,Haggerston,2,13978.304813939902
52,Acton Central,Hampstead Heath,59,6380.308529691172
53,Acton Central,Harlesden,0,13713.451732373424
54,Acton Central,Harringay Green Lanes,3,11918.948515594426
55,Acton Central,Harrow & Wealdstone,3,22335.503701934897
56,Acton Central,Hatch End,0,12969.285191234867
57,Acton Central,Headstone Lane,4,11829.511110250296
58,Acton Central,Highams Park,0,26187.74830033531
59,Acton Central,Highbury & Islington,49,10567.9463942198
60,Acton Central,Homerton,3,15308.392124955857
61,Acton Central,Hoxton,4,14804.078324611275
62,Acton Central,Kensal Green,0,11228.228796330099
63,Acton Central,Kensal Rise,39,1846.24009353165
64,Acton Central,Kentish Town West,54,8400.31379028926
65,Acton Central,Kenton,2,20558.11766974025
66,Acton Central,Kew Gardens,18,13225.412432117813
67,Acton Central,Kilburn High Road,0,3331.250216624916
68,Acton Central,Leyton Midland Road,0,19194.719643948403
69,Acton Central,Leytonstone High Road,0,20405.794153506118
70,Acton Central,New Cross,1,18259.120350971163
71,Acton Central,New Cross Gate,0,17334.877993496335
72,Acton Central,North Wembley,0,18254.780813174006
73,Acton Central,Queen's Park,0,9849.21322396249
74,Acton Central,Richmond,318,15390.034606546164
75,Acton Central,Shadwell,0,12200.691727220485
76,Acton Central,Shoreditch High Street,4,15871.279213923444
77,Acton Central,South Acton,7,1145.2965509439314
78,Acton Central,South Hampstead,3,4304.681393290642
79,Acton Central,South Kenton,0,19178.403784833175
80,Acton Central,South Tottenham,0,13772.022508455266
81,Acton Central,Stonebridge Park,0,15199.366535390727
82,Acton Central,Stratford,11,16931.914313345933
83,Acton Central,Surrey Quays,0,17035.184416503143
84,Acton Central,Upper Holloway,4,9210.323231158085
85,Acton Central,Watford High Street,3,17672.75620505712
86,Acton Central,Watford Junction,5,19075.483192660602
87,Acton Central,Wembley Central,1,16910.511915558203
88,Acton Central,West Hampstead,141,4428.879122795047
89,Acton Central,White Hart Lane,0,22746.829395281013
90,Acton Central,Whitechapel,1,12449.467133924612
91,Acton Central,Willesden Junction,90,12574.910422195162
92,Acton Central,Woodgrange Park,0,23631.47125786962
98,Acton Town,Aldgate,3,8989.741391025189
99,Acton Town,Aldgate East,17,9022.610405552046
100,Acton Town,Alperton,35,3404.2764474167866
101,Acton Town,Amersham,0,26888.632788347768
102,Acton Town,Angel,11,8574.787717400392
103,Acton Town,Archway,1,10568.233113035143
104,Acton Town,Arnos Grove,1,18643.559310674773
105,Acton Town,Arsenal,0,10692.440506626735
106,Acton Town,Baker Street,19,5881.521693387509
107,Acton Town,Balham,0,11431.234058495891
108,Acton Town,Monument,66,8310.563901812346
109,Acton Town,Barbican,9,9503.034206891156
110,Acton Town,Barking,1,18544.752672462575
111,Acton Town,Barkingside,0,25241.015284361718
112,Acton Town,Barons Court,84,1531.9273968714597
113,Acton Town,Bayswater,3,3668.5098985764985
114,Acton Town,Becontree,0,21808.62731342373
115,Acton Town,Belsize Park,0,9576.21679961973
116,Acton Town,Bermondsey,6,9731.887966994167
117,Acton Town,Bethnal Green,2,11253.177203926312
118,Acton Town,Blackfriars,39,7131.3048655844705
119,Acton Town,Blackhorse Road,0,17225.87405821039
120,Acton Town,Bond Street,27,5054.230323809956
121,Acton Town,Borough,1,8163.623808031665
122,Acton Town,Boston Manor,62,1448.9007347009274
123,Acton Town,Bounds Green,1,17297.364966435744
124,Acton Town,Bow Road,1,12601.018608179118
125,Acton Town,Brixton,16,9027.046786332487
126,Acton Town,Bromley-by-Bow,2,13604.212862881439
127,Acton Town,Burnt Oak,0,19205.891990249445
128,Acton Town,Caledonian Road,2,9421.181775043171
129,Acton Town,Camden Town,3,7554.162835872139
130,Acton Town,Canada Water,11,10669.114999749854
131,Acton Town,Canary Wharf,57,11946.197001070545
132,Acton Town,Canning Town,3,13679.289914654157
133,Acton Town,Cannon Street,18,8031.359324193435
134,Acton Town,Canons Park,0,10766.77407327328
135,Acton Town,Chalfont & Latimer,0,25659.12425219135
136,Acton Town,Chalk Farm,0,8544.37730879505
137,Acton Town,Chancery Lane,20,6612.694545623966
138,Acton Town,Charing Cross,5,5261.779992790688
139,Acton Town,Chiswick Park,20,342.58866181063286
140,Acton Town,Chorleywood,1,22152.48872467238
141,Acton Town,Clapham Common,3,9024.650695416845
142,Acton Town,Clapham North,1,8385.073804041167
143,Acton Town,Clapham South,2,10270.412457092041
144,Acton Town,Cockfosters,0,23815.639026709305
145,Acton Town,Colindale,0,17909.17804189507
146,Acton Town,Colliers Wood,0,14740.736479447462
147,Acton Town,Covent Garden,44,5426.720549410799
148,Acton Town,Croxley,0,18257.512277433223
149,Acton Town,Dagenham East,0,24507.717924533936
150,Acton Town,Dagenham Heathway,0,23231.28092919243
151,Acton Town,Dollis Hill,0,10175.675323157282
152,Acton Town,Ealing Broadway,107,448.9061078943936
153,Acton Town,Ealing Common,13,77.27951200214288
154,Acton Town,Earl's Court,129,1633.7696906672825
155,Acton Town,East Acton,2,3285.403481284705
156,Acton Town,East Finchley,0,13889.998079538693
157,Acton Town,East Ham,1,17419.821770757073
158,Acton Town,East Putney,13,5255.932902324894
159,Acton Town,Eastcote,2,10032.836386403802
160,Acton Town,Edgware,1,20720.918114607764
161,Acton Town,Edgware Road,12,5132.191712310028
162,Acton Town,Elephant & Castle,20,7461.148452986962
163,Acton Town,Embankment,16,5596.56713958587
164,Acton Town,Euston,14,6576.102600038151
165,Acton Town,Euston Square,3,7319.918516979825
166,Acton Town,Farringdon,19,9175.60700340262
167,Acton Town,Finchley Central,1,16257.424717611728
168,Acton Town,Finchley Road,0,6352.835532872663
169,Acton Town,Finsbury Park,7,11456.884546275414
170,Acton Town,Fulham Broadway,41,2527.179954147824
171,Acton Town,Gants Hill,0,21765.067625453
172,Acton Town,Gloucester Road,62,1805.0775278332744
173,Acton Town,Golders Green,1,13124.197108058148
174,Acton Town,Goldhawk Road,0,1900.1488046945506
175,Acton Town,Goodge Street,14,6187.783287858521
176,Acton Town,Great Portland Street,10,6702.787220389103
177,Acton Town,Green Park,79,3926.9378668000363
178,Acton Town,Greenford,2,6440.866416304225
179,Acton Town,Gunnersbury,0,321.34294954756433
180,Acton Town,Hammersmith,391,1024.2800736460465
181,Acton Town,Hampstead,0,10747.679761192849
182,Acton Town,Harrow-on-the-Hill,6,8809.662956604925
183,Acton Town,Hatton Cross,62,9977.911851967092
184,Acton Town,Heathrow Terminal 4,10,11676.778381652488
185,Acton Town,Heathrow Terminal 5,18,14078.728010362156
186,Acton Town,Heathrow Terminals 2 & 3,44,12382.034561955246
187,Acton Town,Hendon Central,0,15763.584761825925
188,Acton Town,High Street Kensington,16,1976.3853649992664
189,Acton Town,Highbury & Islington,4,9904.266351535915
190,Acton Town,Highgate,1,12147.26497188732
191,Acton Town,Hillingdon,0,14723.245343238937
192,Acton Town,Holborn,117,6052.744942395822
193,Acton Town,Holland Park,0,3621.6567279979317
194,Acton Town,Holloway Road,7,10032.821080922682
195,Acton Town,Hounslow Central,42,5706.48345003814
196,Acton Town,Hounslow East,55,4963.711380015143
197,Acton Town,Hounslow West,20,7177.254019436104
198,Acton Town,Hyde Park Corner,34,3150.0593906288937
199,Acton Town,Ickenham,0,13602.223818361146
200,Acton Town,Kennington,2,7662.040735906499
201,Acton Town,Kentish Town,1,8827.004107995079
202,Acton Town,Kew Gardens,4,2093.461863846277
203,Acton Town,Kilburn,0,8054.9522786831685
204,Acton Town,King's Cross St. Pancras,64,7398.63399319359
205,Acton Town,Kingsbury,0,7842.269814375517
206,Acton Town,Knightsbridge,64,2571.8141054728253
207,Acton Town,Ladbroke Grove,9,4048.9835869865105
208,Acton Town,Lambeth North,6,6468.743439269907
209,Acton Town,Lancaster Gate,1,4407.326514150978
210,Acton Town,Latimer Road,6,3392.571609715722
211,Acton Town,Leicester Square,52,5067.245532186097
212,Acton Town,Leyton,0,16146.404694653644
213,Acton Town,Leytonstone,0,17799.61687485273
214,Acton Town,Liverpool Street,55,8884.429620364428
215,Acton Town,London Bridge,39,7652.397041709722
216,Acton Town,Manor House,1,12561.114154704288
217,Acton Town,Mansion House,41,7788.721118918122
218,Acton Town,Marble Arch,1,5620.361548248204
219,Acton Town,Marylebone,1,5670.850723969383
220,Acton Town,Mile End,3,11978.90754106973
221,Acton Town,Mill Hill East,2,17610.02035811898
222,Acton Town,Moorgate,14,8804.081528043525
223,Acton Town,Morden,0,17342.43527071123
224,Acton Town,Mornington Crescent,5,7334.216667006641
225,Acton Town,Newbury Park,0,24114.829494907284
226,Acton Town,North Acton,3,2111.421536572756
227,Acton Town,North Ealing,20,393.97529368835364
228,Acton Town,North Greenwich,13,13607.785564178392
229,Acton Town,Northfields,30,524.5156422810749
230,Acton Town,Northolt,1,8256.399478702831
231,Acton Town,Northwick Park,3,9387.292467385108
232,Acton Town,Northwood,2,14770.564059238362
233,Acton Town,Northwood Hills,1,13187.546804077147
234,Acton Town,Notting Hill Gate,7,2924.8006062844606
235,Acton Town,Oakwood,0,22474.710599270293
236,Acton Town,Old Street,28,9649.153578481293
237,Acton Town,Osterley,22,4006.214790618304
238,Acton Town,Oval,1,8569.535937835268
239,Acton Town,Oxford Circus,38,4925.2506075886895
240,Acton Town,Paddington,31,5393.386273809122
241,Acton Town,Park Royal,39,1485.4669383246996
242,Acton Town,Parsons Green,29,3222.5062322586186
243,Acton Town,Perivale,1,4850.205601692507
244,Acton Town,Piccadilly Circus,85,4698.3339488926995
245,Acton Town,Pimlico,10,5127.065327051018
246,Acton Town,Pinner,0,11038.158670328638
247,Acton Town,Plaistow,2,14807.017666271098
248,Acton Town,Preston Road,0,7659.810181804465
249,Acton Town,Putney Bridge,21,4205.717000716129
250,Acton Town,Queensbury,0,9084.566640200688
251,Acton Town,Ravenscourt Park,43,1477.0238278470106
252,Acton Town,Rayners Lane,4,8216.3169456229
253,Acton Town,Redbridge,0,20315.617921715082
254,Acton Town,Regent's Park,10,5894.923066398731
255,Acton Town,Richmond,33,4258.084038274628
256,Acton Town,Rickmansworth,0,18606.84276172231
257,Acton Town,Royal Oak,9,5810.351324758089
258,Acton Town,Ruislip,1,11826.653485037077
259,Acton Town,Ruislip Manor,0,11153.44724988132
260,Acton Town,Russell Square,44,6746.453050287791
261,Acton Town,Seven Sisters,6,14589.140291184272
262,Acton Town,Shepherd's Bush,0,4470.859158670619
263,Acton Town,Shepherd's Bush Market,1,2326.390047622054
264,Acton Town,Sloane Square,34,2571.8141054728253
265,Acton Town,South Ealing,21,77.27951200214288
266,Acton Town,South Harrow,12,8145.57468255378
267,Acton Town,South Kensington,131,2550.841347469256
268,Acton Town,South Ruislip,0,10571.573547826973
269,Acton Town,South Woodford,0,19434.353756158936
270,Acton Town,Southfields,15,6878.18779343092
271,Acton Town,Southgate,1,20615.403148410358
272,Acton Town,Southwark,32,6556.834630111385
273,Acton Town,St. James's Park,64,4503.552322977489
274,Acton Town,St. John's Wood,2,7478.406418733435
275,Acton Town,St. Paul's,27,7702.013993889092
276,Acton Town,Stamford Brook,13,773.2723219908971
277,Acton Town,Stepney Green,2,10958.166224284672
278,Acton Town,Stockwell,2,7443.422912884596
279,Acton Town,Stratford,10,14044.115361610944
280,Acton Town,Sudbury Hill,15,6669.545372961703
281,Acton Town,Sudbury Town,13,5055.502316489638
282,Acton Town,Swiss Cottage,3,6516.946215564151
283,Acton Town,Temple,15,6385.035259048414
284,Acton Town,Tooting Bec,1,12399.699776078303
285,Acton Town,Tooting Broadway,3,13467.681729207296
286,Acton Town,Tottenham Court Road,10,5667.079637856903
287,Acton Town,Tottenham Hale,4,15827.110212480555
288,Acton Town,Totteridge & Whetstone,1,19894.56554476803
289,Acton Town,Tower Hill,28,8948.084854409994
290,Acton Town,Tufnell Park,1,9582.959698603727
291,Acton Town,Turnham Green,20,171.29433090531643
292,Acton Town,Turnpike Lane,3,14874.74947407434
293,Acton Town,Upminster,0,30837.154326564985
294,Acton Town,Upney,0,19887.00471610424
295,Acton Town,Upton Park,0,16122.428918053445
296,Acton Town,Uxbridge,41,16861.679928982536
297,Acton Town,Vauxhall,21,5946.657468016988
298,Acton Town,Victoria,53,3734.6833072817835
299,Acton Town,Walthamstow Central,1,18700.820038934056
300,Acton Town,Warren Street,25,6071.265463927773
301,Acton Town,Waterloo,32,5906.001379571917
302,Acton Town,Watford,1,19126.408395491897
303,Acton Town,Wembley Park,1,7045.660107287122
304,Acton Town,West Acton,3,820.5327037866443
305,Acton Town,West Brompton,17,2089.1703576313184
306,Acton Town,West Ham,0,13908.71427994619
307,Acton Town,West Hampstead,1,7045.660107287122
308,Acton Town,West Harrow,0,8287.059208692022
309,Acton Town,West Kensington,14,1735.6119844631053
310,Acton Town,Westbourne Park,9,4846.489746786134
311,Acton Town,Westminster,33,5061.346344487247
312,Acton Town,White City,3,5234.2131714485295
313,Acton Town,Whitechapel,10,9930.423546335644
314,Acton Town,Willesden Green,0,9231.668441907163
315,Acton Town,Wimbledon,77,9860.33433198758
316,Acton Town,Wimbledon Park,3,8233.795605794274
317,Acton Town,Wood Green,6,15798.230719846673
318,Acton Town,Wood Lane,9,2845.5499780610016
319,Acton Town,Woodford,0,21133.712446320198
320,Acton Town,Woodside Park,0,18425.798412605604
321,Aldgate,Acton Town,0,8989.74139102519
322,Aldgate,Aldgate East,0,219.9034307803612
323,Aldgate,Amersham,0,28797.87698577992
324,Aldgate,Angel,17,2830.139844054246
325,Aldgate,Archway,2,8261.132848889118
326,Aldgate,Arnos Grove,0,14691.396260217869
327,Aldgate,Arsenal,2,6740.27745616983
328,Aldgate,Baker Street,167,5915.7674419195
329,Aldgate,Balham,0,10098.44117593463
330,Aldgate,Monument,5,719.2435981903919
331,Aldgate,Barbican,221,1165.5131190685952
332,Aldgate,Barking,0,10615.455901208274
333,Aldgate,Barkingside,0,17149.798201317477
334,Aldgate,Barons Court,0,7457.813994153729
335,Aldgate,Bayswater,1,8128.77923673051
336,Aldgate,Belsize Park,1,7269.116535473702
337,Aldgate,Bermondsey,0,3845.3973081910835
338,Aldgate,Bethnal Green,0,2474.0593542226466
339,Aldgate,Blackfriars,11,1898.5026344182663
340,Aldgate,Blackhorse Road,2,13273.711007753483
341,Aldgate,Bond Street,13,5018.519214271229
342,Aldgate,Borough,1,2277.1331492285826
343,Aldgate,Boston Manor,0,10438.642125726119
344,Aldgate,Bounds Green,2,13345.20191597884
345,Aldgate,Bow Road,0,3798.311633407433
346,Aldgate,Brent Cross,0,12326.122993345458
347,Aldgate,Brixton,2,7694.253903771226
348,Aldgate,Buckhurst Hill,0,14170.276565921911
349,Aldgate,Burnt Oak,0,16898.791726103416
350,Aldgate,Caledonian Road,10,5469.018724586265
351,Aldgate,Camden Town,8,5247.062571726112
352,Aldgate,Canada Water,0,4782.624340946772
353,Aldgate,Canary Wharf,1,4413.130667679298
354,Aldgate,Canning Town,0,6146.223581262912
355,Aldgate,Cannon Street,4,998.448175809302
356,Aldgate,Canons Park,2,10801.019821805272
357,Aldgate,Chalfont & Latimer,1,27568.3684496235
358,Aldgate,Chalk Farm,1,6237.277044649023
359,Aldgate,Chancery Lane,5,2432.1961705488197
360,Aldgate,Charing Cross,0,3768.0275072120485
361,Aldgate,Chesham,0,32649.196503659765
362,Aldgate,Chigwell,0,15485.883864164913
363,Aldgate,Chorleywood,0,24061.732922104533
364,Aldgate,Clapham Common,0,7691.857812855584
365,Aldgate,Clapham North,0,7052.280921479905
366,Aldgate,Clapham South,1,8937.61957453078
367,Aldgate,Cockfosters,1,19863.4759762524
368,Aldgate,Colindale,4,15602.077777749042
369,Aldgate,Colliers Wood,0,13407.9435968862
370,Aldgate,Covent Garden,2,3618.1701667619864
371,Aldgate,Croxley,0,20166.756474865375
372,Aldgate,Debden,0,18043.51151522245
373,Aldgate,Dollis Hill,4,10209.921071689274
374,Aldgate,Ealing Broadway,0,9438.647498919585
375,Aldgate,Ealing Common,0,9067.020903027334
376,Aldgate,Earl's Court,2,7355.971700357906
377,Aldgate,East Acton,4,12275.144872309895
378,Aldgate,East Finchley,0,11582.897815392667
379,Aldgate,East Ham,0,9490.524999502772
380,Aldgate,East Putney,0,10978.134912015517
381,Aldgate,Eastcote,2,13128.7726058
382,Aldgate,Edgware,0,18413.817850461735
383,Aldgate,Edgware Road,25,6989.946953686822
384,Aldgate,Elephant & Castle,1,3091.2020120262086
385,Aldgate,Embankment,14,3433.2403604168667
386,Aldgate,Epping,0,23976.209272954853
387,Aldgate,Euston,4,4269.0023358921235
388,Aldgate,Euston Square,353,4477.370618327184
389,Aldgate,Fairlop,0,18305.52235771133
390,Aldgate,Farringdon,677,1669.497932527655
391,Aldgate,Finchley Central,1,13950.324453465702
392,Aldgate,Finchley Road,30,6387.081281404654
393,Aldgate,Finsbury Park,8,7504.721495818508
394,Aldgate,Fulham Broadway,0,8249.381963838448
395,Aldgate,Gants Hill,0,13673.85054240876
396,Aldgate,Gloucester Road,0,7184.663863191914
397,Aldgate,Golders Green,1,10817.09684391212
398,Aldgate,Goldhawk Road,0,9343.345551737946
399,Aldgate,Goodge Street,0,4240.227530514395
400,Aldgate,Great Portland Street,228,5094.501914917906
401,Aldgate,Green Park,3,5102.8696332027
402,Aldgate,Greenford,0,15430.607807329416
403,Aldgate,Gunnersbury,0,8968.495678762121
404,Aldgate,Hainault,1,17923.237200926556
405,Aldgate,Hammersmith,2,8467.476820689442
406,Aldgate,Hampstead,2,8440.579497046821
407,Aldgate,Hanger Lane,0,11615.770609038958
408,Aldgate,Harlesden,1,14036.201637598266
409,Aldgate,Harrow & Wealdstone,0,22658.253607159742
410,Aldgate,Harrow-on-the-Hill,22,10718.907154037075
411,Aldgate,Hatton Cross,0,18967.65324299228
412,Aldgate,Heathrow Terminal 4,0,20666.519772677675
413,Aldgate,Heathrow Terminal 5,1,23068.469401387345
414,Aldgate,Heathrow Terminals 2 & 3,3,21371.775952980435
415,Aldgate,Hendon Central,2,13456.484497679898
416,Aldgate,High Barnet,0,20171.839054017888
417,Aldgate,High Street Kensington,18,7355.971700357906
418,Aldgate,Highbury & Islington,1,5952.103301079009
419,Aldgate,Highgate,1,9840.164707741294
420,Aldgate,Hillingdon,1,17819.181562635134
421,Aldgate,Holborn,19,2992.145773776964
422,Aldgate,Holland Park,3,9001.243063356573
423,Aldgate,Holloway Road,8,6080.658030465777
424,Aldgate,Hounslow Central,0,14696.224841063333
425,Aldgate,Hounslow East,0,13953.452771040334
426,Aldgate,Hounslow West,0,16166.995410461295
427,Aldgate,Hyde Park Corner,1,5879.748109373842
428,Aldgate,Ickenham,0,16698.160037757345
429,Aldgate,Kennington,0,3922.813399979032
430,Aldgate,Kensal Green,0,11550.978701554941
431,Aldgate,Kentish Town,1,6519.9038438490525
432,Aldgate,Kew Gardens,0,10740.614593060835
433,Aldgate,Kilburn,1,8089.19802721516
434,Aldgate,Kilburn Park,1,9787.588042959578
435,Aldgate,King's Cross St. Pancras,351,3446.4709427366847
436,Aldgate,Kingsbury,2,7876.515562907509
437,Aldgate,Knightsbridge,1,6457.993394529911
438,Aldgate,Ladbroke Grove,9,9871.951832174178
439,Aldgate,Lambeth North,0,3646.482071151261
440,Aldgate,Lancaster Gate,0,6849.508898897688
441,Aldgate,Latimer Road,4,10528.363809444967
442,Aldgate,Leicester Square,1,3977.6451839866886
443,Aldgate,Leyton,0,8055.187611609403
444,Aldgate,Leytonstone,0,9708.39979180849
445,Aldgate,Liverpool Street,67,105.31177066076131
446,Aldgate,London Bridge,2,1765.9063829066386
447,Aldgate,Loughton,0,15994.503260588162
448,Aldgate,Maida Vale,2,8945.368858632357
449,Aldgate,Manor House,6,8608.951104247382
450,Aldgate,Mansion House,5,1241.086381084615
451,Aldgate,Marble Arch,5,5636.473864800462
452,Aldgate,Marylebone,3,6451.287942027468
453,Aldgate,Mile End,0,3176.2005662980455
454,Aldgate,Mill Hill East,0,15302.920093972958
455,Aldgate,Moor Park,0,18889.758655447244
456,Aldgate,Moorgate,112,466.56044022096376
457,Aldgate,Morden,0,16009.642388149969
458,Aldgate,Mornington Crescent,0,5027.116402860614
459,Aldgate,Neasden,1,9430.08701448008
460,Aldgate,Newbury Park,0,16023.612411863043
461,Aldgate,North Acton,1,11101.162927597947
462,Aldgate,North Greenwich,0,6074.719230787146
463,Aldgate,North Harrow,2,11435.757302084154
464,Aldgate,North Wembley,0,18577.530718398848
465,Aldgate,Northfields,0,9514.257033306267
466,Aldgate,Northolt,0,17246.140869728024
467,Aldgate,Northwick Park,20,9421.538215917102
468,Aldgate,Northwood,2,16679.808256670512
469,Aldgate,Northwood Hills,1,15096.791001509297
470,Aldgate,Notting Hill Gate,7,8304.3869416431
471,Aldgate,Oakwood,0,18522.54754881339
472,Aldgate,Old Street,8,1311.632490658732
473,Aldgate,Osterley,0,12995.956181643496
474,Aldgate,Oval,1,4830.3086019078
475,Aldgate,Oxford Circus,15,4529.669235252365
476,Aldgate,Paddington,73,7280.656087737158
477,Aldgate,Parsons Green,0,8944.708241949244
478,Aldgate,Perivale,0,13839.946992717698
479,Aldgate,Piccadilly Circus,4,4331.473551110037
480,Aldgate,Pimlico,0,6647.440103512639
481,Aldgate,Pinner,1,12947.402867760788
482,Aldgate,Plaistow,0,6877.720895016799
483,Aldgate,Preston Road,5,7694.055930336457
484,Aldgate,Putney Bridge,0,9927.919010406753
485,Aldgate,Queen's Park,4,10171.963129187332
486,Aldgate,Queensbury,0,9118.81238873268
487,Aldgate,Queensway,0,7699.341551992124
488,Aldgate,Rayners Lane,1,11312.2531650191
489,Aldgate,Redbridge,0,12224.400838670841
490,Aldgate,Richmond,0,12905.236767489187
491,Aldgate,Rickmansworth,3,20516.08695915446
492,Aldgate,Royal Oak,3,8110.5840944025995
493,Aldgate,Ruislip,1,14922.589704433276
494,Aldgate,Ruislip Gardens,0,20444.22599673935
495,Aldgate,Ruislip Manor,1,14249.383469277518
496,Aldgate,Russell Square,7,3685.8538816689324
497,Aldgate,Seven Sisters,2,10636.977240727365
498,Aldgate,Shepherd's Bush,2,9850.44549402926
499,Aldgate,Shepherd's Bush Market,3,9769.58679466545
500,Aldgate,Sloane Square,6,6417.927285552362
501,Aldgate,Snaresbrook,0,10031.338372768741
502,Aldgate,South Ealing,0,9067.020903027334
503,Aldgate,South Harrow,0,11382.995428088221
504,Aldgate,South Kensington,10,6438.900043555932
505,Aldgate,South Kenton,0,19501.153690058018
506,Aldgate,South Ruislip,0,19561.314938852163
507,Aldgate,South Wimbledon,0,14480.104610598553
508,Aldgate,South Woodford,0,11343.136673114692
509,Aldgate,Southfields,0,12600.389803121543
510,Aldgate,Southgate,1,16663.240097953454
511,Aldgate,Southwark,0,2861.468794504975
512,Aldgate,St. James's Park,15,4486.189068047699
513,Aldgate,St. John's Wood,1,7512.652167265426
514,Aldgate,St. Paul's,4,1342.876722283694
515,Aldgate,Stamford Brook,0,9420.425051205455
516,Aldgate,Stanmore,4,12216.542447580532
517,Aldgate,Stepney Green,0,2155.4592495129887
518,Aldgate,Stockwell,0,6110.630030323335
519,Aldgate,Stonebridge Park,0,15522.11644061557
520,Aldgate,Stratford,6,5952.898278566703
521,Aldgate,Sudbury Hill,0,12859.024737680298
522,Aldgate,Sudbury Town,0,14045.24370751483
523,Aldgate,Swiss Cottage,2,6551.191964096142
524,Aldgate,Temple,8,2644.772240954322
525,Aldgate,Tooting Bec,0,11066.906893517042
526,Aldgate,Tooting Broadway,1,12134.888846646034
527,Aldgate,Tottenham Court Road,14,3719.523880512777
528,Aldgate,Tottenham Hale,0,11874.947162023647
529,Aldgate,Totteridge & Whetstone,0,17587.465280622004
530,Aldgate,Tower Hill,4,81.72264559274376
531,Aldgate,Tufnell Park,0,7275.859434457701
532,Aldgate,Turnham Green,0,8818.447060119874
533,Aldgate,Turnpike Lane,2,10922.586423617435
534,Aldgate,Upton Park,0,8193.132146799146
535,Aldgate,Uxbridge,29,19957.616148378736
536,Aldgate,Vauxhall,3,7467.032244478609
537,Aldgate,Victoria,5,5255.0580837434045
538,Aldgate,Walthamstow Central,0,14748.65698847715
539,Aldgate,Wanstead,0,11046.805710893157
540,Aldgate,Warren Street,0,4765.310035849934
541,Aldgate,Warwick Avenue,2,8165.639885604156
542,Aldgate,Waterloo,3,3083.740011453271
543,Aldgate,Watford,2,21035.65259292405
544,Aldgate,Wembley Central,0,17233.261820783046
545,Aldgate,Wembley Park,40,7079.905855819114
546,Aldgate,West Acton,0,9810.274094811835
547,Aldgate,West Brompton,0,7811.372367321942
548,Aldgate,West Finchley,0,15180.43711400721
549,Aldgate,West Ham,0,5979.417508691891
550,Aldgate,West Hampstead,9,7079.905855819114
551,Aldgate,West Harrow,2,11241.510901949978
552,Aldgate,West Kensington,0,7457.813994153729
553,Aldgate,West Ruislip,0,22562.64926960146
554,Aldgate,Westbourne Park,6,9074.445672374555
555,Aldgate,Westminster,14,3928.395046537941
556,Aldgate,White City,2,11129.629511806199
557,Aldgate,Whitechapel,2,1127.716571563959
558,Aldgate,Willesden Green,5,9265.914190439154
559,Aldgate,Willesden Junction,1,12897.660327420004
560,Aldgate,Wimbledon,0,15582.536341678204
561,Aldgate,Wood Green,4,11846.067669389768
562,Aldgate,Wood Lane,8,10288.746725104398
