station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Canada Water,Wandsworth Road,-47,-59,-62
Chancery Lane,Stratford,-47,-60,-62
Northwick Park,Great Portland Street,-47,-52,-61
Blackfriars,Fulham Broadway,-47,-57,-60
West Acton,St. Paul's,-47,-54,-59
West Hampstead,Kingsbury,-47,-55,-59
Hounslow West,Acton Town,-47,-43,-58
Bromley-by-Bow,East Ham,-47,-47,-57
Canning Town,Beckton Park,-47,-46,-56
Liverpool Street,Seven Kings,-47,-55,-55
Wood Lane,Westbourne Park,-47,-38,-55
Harrow-on-the-Hill,Chorleywood,-47,-39,-54
Uxbridge,Eastcote,-47,-40,-53
Hammersmith,Hyde Park Corner,-47,-53,-52
Whitechapel,Sydenham,-47,-52,-52
Harrow & Wealdstone,Kilburn High Road,-47,-47,-48
White Hart Lane,Liverpool Street,-47,-125,117
Bounds Green,Oxford Circus,-47,-18,209
Uxbridge,Hillingdon,-47,92,251
Wood Green,Oxford Circus,-47,6,291
Bank and Monument,Embankment,-46,-238,-314
Victoria,Angel,-46,-151,-235
Paddington,Aldgate East,-46,-113,-156
Hammersmith,Leicester Square,-46,-84,-135
St. John's Wood,Liverpool Street,-46,-76,-135
London Bridge,Kennington,-46,-84,-126
Southfields,Earl's Court,-46,-39,-104
Poplar,Langdon Park,-46,-71,-95
High Street Kensington,Liverpool Street,-46,-74,-92
West Acton,Bank and Monument,-46,-71,-89
Acton Town,Piccadilly Circus,-46,-63,-84
Westminster,London Bridge,-46,-53,-84
Leyton,Shepherd's Bush,-46,-67,-82
Embankment,Paddington,-46,-67,-80
Stamford Brook,South Kensington,-46,-48,-79
Fulham Broadway,Embankment,-46,-65,-73
East Finchley,Archway,-46,91,-71
Tooting Bec,Morden,-46,-22,-71
West Hampstead,Caledonian Road & Barnsbury,-46,-60,-69
Holloway Road,Hammersmith,-46,-56,-67
Marble Arch,Stratford,-46,-65,-67
Shepherd's Bush Market,Ladbroke Grove,-46,-17,-66
South Ealing,Earl's Court,-46,-51,-66
Tower Hill,Gloucester Road,-46,-63,-66
Victoria,Turnpike Lane,-46,-64,-66
Mile End,Leytonstone,-46,-54,-62
Whitechapel,Leytonstone,-46,-59,-62
West Brompton,Willesden Junction,-46,-53,-61
Warren Street,Canary Wharf,-46,-56,-61
South Tottenham,Gospel Oak,-46,-39,-60
Leyton,Gants Hill,-46,-48,-58
High Barnet,Euston,-46,-36,-57
Mornington Crescent,Waterloo,-46,-51,-57
Southwark,St. John's Wood,-46,-54,-57
Sudbury Hill,Earl's Court,-46,-48,-57
Northwood,Finchley Road,-46,-50,-56
Shepherd's Bush Market,Westbourne Park,-46,-42,-56
Dagenham East,Upminster,-46,-41,-55
Ruislip Gardens,White City,-46,-40,-55
Borough,Angel,-46,-51,-54
Elephant & Castle,South Wimbledon,-46,-52,-53
Hanger Lane,Chancery Lane,-46,-48,-53
Barking,Elm Park,-46,-44,-52
Gunnersbury,Finchley Road & Frognal,-46,-49,-51
Gunnersbury,Brondesbury,-46,-47,-49
Chigwell,Liverpool Street,-46,-46,-22
Kingsbury,Bond Street,-46,-43,-4
Northolt,Marble Arch,-46,-46,50
Woodside Park,Finchley Central,-46,247,73
Chalfont & Latimer,Chesham,-46,12,157
Sudbury Hill,South Harrow,-46,24,185
Walthamstow Central,Wood Street,-46,141,257
High Barnet,Tottenham Court Road,-46,-34,259
Victoria,St. John's Wood,-45,-105,-153
Wembley Park,Moorgate,-45,-91,-148
Golders Green,London Bridge,-45,-63,-127
Clapham South,Warren Street,-45,-67,-121
Warwick Avenue,Bank and Monument,-45,-91,-119
Tooting Broadway,Vauxhall,-45,113,-117
Tooting Broadway,Pimlico,-45,-56,-115
King's Cross St. Pancras,Hyde Park Corner,-45,-83,-114
Victoria,Swiss Cottage,-45,-97,-113
Hammersmith,Tower Hill,-45,-80,-104
High Street Kensington,Paddington,-45,10,-97
Colindale,Warren Street,-45,-48,-90
Chalk Farm,London Bridge,-45,-63,-84
Hackney Central,Hampstead Heath,-45,-58,-84
Gants Hill,Leytonstone,-45,24,-78
Kensal Rise,Camden Road,-45,-42,-78
New Cross,Hoxton,-45,-53,-74
Northwick Park,Baker Street,-45,-52,-73
Turnham Green,Embankment,-45,-66,-73
Brent Cross,Moorgate,-45,-61,-72
Golders Green,Mornington Crescent,-45,-42,-71
Bow Church,Poplar,-45,-58,-69
South Quay,Langdon Park,-45,-60,-69
King's Cross St. Pancras,Latimer Road,-45,-63,-68
Aldgate East,Paddington,-45,-60,-67
Putney Bridge,Edgware Road,-45,-56,-65
Putney Bridge,Temple,-45,-54,-62
Gloucester Road,Wimbledon,-45,-46,-61
Colindale,Chalk Farm,-45,-40,-60
Eastcote,Aldgate,-45,-52,-59
Aldgate East,Sloane Square,-45,-55,-58
Bow Church,Lewisham,-45,-52,-58
Eastcote,Finchley Road,-45,-51,-58
Kew Gardens,Ravenscourt Park,-45,-47,-57
Wood Lane,Edgware Road,-45,-49,-57
Kingsbury,Uxbridge,-45,-28,-56
Chalfont & Latimer,Farringdon,-45,-51,-55
Greenford,Holland Park,-45,-47,-55
Piccadilly Circus,Paddington,-45,-51,-55
South Ruislip,North Acton,-45,-33,-55
Acton Central,Kentish Town West,-45,-50,-54
Goldhawk Road,Barbican,-45,-52,-54
Ruislip Gardens,Shepherd's Bush,-45,-43,-52
Willesden Green,Stanmore,-45,-46,-52
Bromley-by-Bow,Blackfriars,-45,-46,-51
Green Park,Brixton,-45,-49,-51
Shepherd's Bush,Northolt,-45,-48,-51
Hanger Lane,Northolt,-45,-37,-50
Hatton Cross,Boston Manor,-45,-45,-49
Upper Holloway,Walthamstow Queens Road,-45,-47,-49
South Ealing,South Kensington,-45,-47,-27
Stonebridge Park,Wembley Central,-45,86,157
Morden,Oxford Circus,-45,18,539
North Wembley,Wembley Central,-45,174,876
Euston,Highbury & Islington,-44,-193,-366
Burnt Oak,Bank and Monument,-44,-97,-163
Mile End,Waterloo,-44,-64,-149
Deptford Bridge,South Quay,-44,-56,-145
Manor House,Warren Street,-44,-48,-127
Hanger Lane,Bank and Monument,-44,-70,-115
Seven Sisters,Knightsbridge,-44,-56,-114
Canada Water,St. John's Wood,-44,-82,-106
Tooting Bec,Green Park,-44,-65,-104
Turnpike Lane,South Kensington,-44,-58,-104
Holland Park,Oxford Circus,-44,-47,-99
Caledonian Road,Victoria,-44,-51,-96
Parsons Green,Piccadilly Circus,-44,-64,-93
West Hampstead,Kensal Rise,-44,41,-90
Pimlico,Highbury & Islington,-44,-74,-86
Euston,Brixton,-44,-72,-83
Woodford,Whitechapel,-44,-40,-82
Eastcote,Canary Wharf,-44,-43,-81
Aldgate East,Mansion House,-44,-55,-80
Elephant & Castle,Camden Town,-44,-63,-80
Bond Street,Waterloo,-44,-62,-79
West Acton,Liverpool Street,-44,-65,-78
Highgate,Charing Cross,-44,-57,-77
Hainault,Whitechapel,-44,-45,-73
Balham,Oval,-44,-30,-72
Belsize Park,Leicester Square,-44,-51,-71
Blackhorse Road,Brixton,-44,-54,-70
Holloway Road,South Kensington,-44,-54,-70
Kensal Rise,Gospel Oak,-44,-38,-70
Wood Green,Holloway Road,-44,-46,-70
Grange Hill,Stratford,-44,-39,-66
Hillingdon,Hammersmith,-44,-56,-66
Chingford,Hackney Downs,-44,-48,-65
South Ealing,Holborn,-44,-56,-65
Brondesbury Park,Hampstead Heath,-44,-33,-64
Hendon Central,Mornington Crescent,-44,-46,-64
Marylebone,Cannon Street,-44,-62,-64
West Hampstead,Hackney Central,-44,-56,-64
Swiss Cottage,Wembley Park,-44,-49,-62
Barons Court,Covent Garden,-44,-56,-61
Heathrow Terminal 5,Hammersmith,-44,-46,-60
Newbury Park,Leyton,-44,-41,-60
Pinner,Great Portland Street,-44,-49,-60
Putney Bridge,Tower Hill,-44,-54,-60
Clapham North,Borough,-44,-51,-59
Ealing Common,Richmond,-44,-27,-58
High Barnet,Mornington Crescent,-44,-46,-58
Goldhawk Road,Edgware Road,-44,-53,-57
Hounslow Central,Acton Town,-44,-40,-57
Uxbridge,Aldgate,-44,-49,-57
Watford High Street,Harrow & Wealdstone,-44,-53,-56
Wanstead Park,Upper Holloway,-44,-47,-53
Neasden,Kingsbury,-44,-41,-51
King's Cross St. Pancras,Heathrow Terminal 5,-44,-49,-50
Kentish Town,Finchley Central,-44,-46,-49
Plaistow,Dagenham Heathway,-44,-47,-49
Becontree,Hornchurch,-44,-42,-48
Oval,Morden,-44,-46,-48
Rickmansworth,Chalfont & Latimer,-44,-16,-48
Alperton,Hounslow East,-44,-46,-47
Kenton,Watford High Street,-44,-40,-47
Kensal Green,Kenton,-44,-44,-46
Becontree,Dagenham Heathway,-44,206,-26
High Barnet,Angel,-44,-41,-10
Debden,Bank and Monument,-44,-48,66
Morden,South Wimbledon,-44,434,433
Hendon Central,Golders Green,-44,248,794
Brockley,Whitechapel,-43,-126,-291
North Greenwich,Paddington,-43,-102,-139
Ealing Broadway,Southwark,-43,-107,-136
South Kensington,King's Cross St. Pancras,-43,-77,-132
North Acton,Liverpool Street,-43,-83,-126
Victoria,Gunnersbury,-43,-99,-123
Parsons Green,West Brompton,-43,49,-114
East Acton,Liverpool Street,-43,-77,-105
Westbourne Park,King's Cross St. Pancras,-43,-47,-103
Paddington,North Greenwich,-43,-83,-100
Chalk Farm,Victoria,-43,-48,-94
East Putney,Piccadilly Circus,-43,-63,-90
Chancery Lane,Oxford Circus,-43,-35,-88
Kensal Rise,Hampstead Heath,-43,-16,-86
Star Lane,West Ham,-43,-42,-86
Bow Road,Tower Hill,-43,-42,-85
East Putney,Notting Hill Gate,-43,-49,-84
London Bridge,Ealing Broadway,-43,-75,-82
Loughton,Canary Wharf,-43,26,-82
East Ham,Bethnal Green,-43,-44,-80
Canary Wharf,Greenwich,-43,-64,-77
Angel,Camden Town,-43,-45,-74
Marylebone,Mansion House,-43,-67,-74
Canons Park,Baker Street,-43,-48,-72
High Street Kensington,Baker Street,-43,-49,-72
North Acton,St. Paul's,-43,-55,-71
Richmond,Mansion House,-43,-57,-71
Green Park,Vauxhall,-43,-51,-68
Barking,Bethnal Green,-43,-40,-67
Farringdon,Edgware Road,-43,-61,-67
Totteridge & Whetstone,Finchley Central,-43,36,-65
Upton Park,Bow Road,-43,-46,-63
Canons Park,Kingsbury,-43,15,-62
Russell Square,Westminster,-43,-55,-62
Turnham Green,Temple,-43,-55,-62
Westminster,Blackfriars,-43,-42,-62
Colliers Wood,Clapham North,-43,-50,-61
High Street Kensington,Embankment,-43,-54,-60
Arsenal,Hammersmith,-43,-52,-59
Notting Hill Gate,Ealing Broadway,-43,-49,-58
Perivale,St. Paul's,-43,-50,-58
Canonbury,Finchley Road & Frognal,-43,-55,-57
Northolt,Perivale,-43,22,-57
Camden Road,Homerton,-43,-51,-56
Richmond,Stamford Brook,-43,-41,-56
Kennington,Balham,-43,-50,-54
Great Portland Street,Barbican,-43,-47,-53
Kensington,West Brompton,-43,-36,-53
Northfields,Hounslow East,-43,-43,-53
Bank and Monument,Mudchute,-43,-50,-51
Camden Road,Hackney Wick,-43,-50,-51
Dagenham Heathway,Bow Road,-43,-47,-51
Embankment,Fulham Broadway,-43,-50,-51
Barons Court,Park Royal,-43,-47,-50
Mill Hill East,Archway,-43,-36,-50
Loughton,Epping,-43,-4,-49
Northwood Hills,Rickmansworth,-43,-14,-49
West Finchley,High Barnet,-43,-16,-49
Woodside Park,High Barnet,-43,84,-49
Northolt,West Ruislip,-43,-18,-48
Harrow & Wealdstone,Carpenders Park,-43,-19,-46
Wembley Central,Watford High Street,-43,-41,-46
Sudbury Hill,North Ealing,-43,-40,-45
Belsize Park,Goodge Street,-43,-37,-43
East Putney,Sloane Square,-43,-44,-13
Debden,St. Paul's,-43,-45,-10
Colindale,Hendon Central,-43,522,1271
Seven Sisters,Walthamstow Central,-42,100,-245
Vauxhall,Canary Wharf,-42,-80,-220
Bank and Monument,South Kensington,-42,-166,-203
Parsons Green,Green Park,-42,-61,-133
Euston,Finsbury Park,-42,-102,-127
Leytonstone,Bond Street,-42,-61,-118
Colindale,Victoria,-42,-32,-117
Wandsworth Road,Canada Water,-42,-104,-112
Liverpool Street,West Brompton,-42,-102,-107
Fulham Broadway,Paddington,-42,-36,-99
Stratford,Kensal Rise,-42,-66,-92
Putney Bridge,West Brompton,-42,-19,-88
Edmonton Green,Enfield Town,-42,16,-87
Hammersmith,Cannon Street,-42,-75,-84
East Putney,Earl's Court,-42,-13,-83
Epping,Canary Wharf,-42,43,-79
Ealing Broadway,Stamford Brook,-42,-39,-75
Clapham Common,Angel,-42,-52,-70
Holloway Road,Leicester Square,-42,-49,-69
Northolt,Ealing Broadway,-42,1,-68
Bounds Green,Leicester Square,-42,-52,-67
London Bridge,Golders Green,-42,-61,-67
Wandsworth Road,Shoreditch High Street,-42,-62,-66
Arsenal,Leicester Square,-42,-50,-61
Edgware Road,Barbican,-42,-54,-61
Gants Hill,Waterloo,-42,-41,-59
Bond Street,Southwark,-42,-55,-58
South Woodford,Tottenham Court Road,-42,-49,-58
Bayswater,Sloane Square,-42,-47,-57
Sudbury Town,Earl's Court,-42,-44,-55
West Ham,King George V,-42,-49,-54
Bethnal Green,Leytonstone,-42,-49,-53
High Barnet,Belsize Park,-42,-36,-52
Kilburn Park,Regent's Park,-42,-42,-52
Willesden Junction,Caledonian Road & Barnsbury,-42,-49,-52
Queensbury,Dollis Hill,-42,-42,-50
Stonebridge Park,Queen's Park,-42,-36,-50
Goodge Street,Waterloo,-42,-44,-49
Hammersmith,Heathrow Terminal 5,-42,-44,-49
Blackhorse Road,Woodgrange Park,-42,-43,-48
Mansion House,Embankment,-42,-46,-48
Liverpool Street,Harold Wood,-42,-47,-47
Northwood,Croxley,-42,-22,-47
Stepney Green,East Ham,-42,-45,-47
Stratford High Street,Woolwich Arsenal,-42,-44,-45
Harrow & Wealdstone,Kensal Green,-42,-42,-44
Perivale,Greenford,-42,142,-17
Bounds Green,Covent Garden,-42,-47,-9
Harrow & Wealdstone,Paddington,-42,-38,1
Wood Lane,Ladbroke Grove,-42,17,5
Abbey Road,Stratford,-42,65,238
Cutty Sark,Canary Wharf,-42,296,591
Victoria,Canary Wharf,-41,-198,-379
Canada Water,Paddington,-41,-148,-261
Leyton,Oxford Circus,-41,-91,-193
Shepherd's Bush,London Bridge,-41,-118,-184
Walthamstow Central,Charing Cross,-41,-85,-138
Northolt,Liverpool Street,-41,-78,-136
Queensway,Bond Street,-41,8,-118
Wembley Park,Westminster,-41,-73,-118
Gloucester Road,Westminster,-41,-79,-105
Maida Vale,Liverpool Street,-41,-68,-98
Southfields,Putney Bridge,-41,63,-96
King's Cross St. Pancras,Walthamstow Central,-41,-88,-95
Southfields,South Kensington,-41,-13,-94
Hammersmith,Russell Square,-41,-69,-91
West Ham,Upton Park,-41,-23,-91
Elephant & Castle,Knightsbridge,-41,-55,-90
Belsize Park,London Bridge,-41,-59,-88
Victoria,Chalk Farm,-41,-69,-86
Marylebone,Southwark,-41,-75,-83
Bermondsey,Baker Street,-41,-65,-82
Southwark,Paddington,-41,-66,-81
Bow Road,Barbican,-41,-50,-79
Wanstead,Bank and Monument,-41,-45,-79
Kensal Rise,Brondesbury,-41,-9,-77
Queensway,Marble Arch,-41,0,-77
Manor Park,Romford,-41,-73,-76
Warwick Avenue,Waterloo,-41,-58,-76
Bow Road,Mansion House,-41,-55,-74
Preston Road,Baker Street,-41,-51,-74
Russell Square,Green Park,-41,-49,-73
Holborn,St. Paul's,-41,-36,-72
Brondesbury,Clapham Junction,-41,-38,-69
East Ham,Stepney Green,-41,-46,-68
Warwick Avenue,Chancery Lane,-41,-51,-67
Wood Lane,King's Cross St. Pancras,-41,-51,-67
Marylebone,Pimlico,-41,-61,-66
Prince Regent,Shadwell,-41,-57,-66
Holloway Road,Farringdon,-41,-2,-65
Bow Road,Cannon Street,-41,-56,-64
Parsons Green,Tower Hill,-41,-56,-63
West Kensington,Embankment,-41,-57,-63
South Quay,Tower Gateway,-41,-51,-62
Willesden Green,Harrow-on-the-Hill,-41,-47,-62
South Wimbledon,Elephant & Castle,-41,-47,-61
Tufnell Park,Charing Cross,-41,-51,-61
Barons Court,Ealing Broadway,-41,-47,-59
Hampstead,Goodge Street,-41,-38,-57
Barons Court,Hyde Park Corner,-41,-48,-56
Croxley,Farringdon,-41,-49,-56
Neasden,Swiss Cottage,-41,-38,-55
Rotherhithe,Clapham Junction,-41,-51,-55
Stamford Brook,Blackfriars,-41,-50,-55
Hounslow East,Heathrow Terminals 2 & 3,-41,18,-54
St. John's Wood,Wembley Park,-41,-44,-54
Northwick Park,Aldgate,-41,-47,-53
Southgate,Manor House,-41,-42,-53
Leyton Midland Road,Harringay Green Lanes,-41,-38,-52
Walthamstow Queens Road,Woodgrange Park,-41,-46,-52
Wimbledon Park,Mansion House,-41,-50,-52
Hanger Lane,Holland Park,-41,-41,-50
Wood Lane,Great Portland Street,-41,-44,-50
Blackfriars,Putney Bridge,-41,-48,-49
North Acton,Greenford,-41,-37,-49
Sudbury Hill,Acton Town,-41,-37,-49
Manor House,Southgate,-41,-41,-48
Rickmansworth,Aldgate,-41,-45,-48
Wembley Park,Watford,-41,-34,-48
Baker Street,Uxbridge,-41,-45,-47
Chorleywood,Farringdon,-41,-46,-47
Hatton Cross,Acton Town,-41,-42,-47
West Ruislip,Ruislip Gardens,-41,-20,-45
Brent Cross,Edgware,-41,-38,-44
Highgate,Angel,-41,-37,-39
Pinner,Euston Square,-41,-44,-35
Hounslow West,Hatton Cross,-41,156,29
Burnt Oak,Edgware,-41,281,690
Acton Town,Ealing Broadway,-41,323,1160
Baker Street,King's Cross St. Pancras,-40,31,-288
Victoria,Cannon Street,-40,-162,-199
Leyton,Canning Town,-40,-15,-192
Stratford,Crossharbour,-40,-59,-140
Southfields,Hammersmith,-40,0,-134
West Brompton,Paddington,-40,-43,-106
Dalston Kingsland,Caledonian Road & Barnsbury,-40,-54,-94
Richmond,St. James's Park,-40,-59,-91
Putney Bridge,Paddington,-40,-34,-88
Barking,Mile End,-40,-44,-87
East Ham,Euston Square,-40,-56,-84
Brondesbury,West Brompton,-40,-77,-83
Stratford,Hanger Lane,-40,-60,-80
Stratford,Newbury Park,-40,-64,-79
Golders Green,Charing Cross,-40,-53,-75
Preston Road,Moorgate,-40,-64,-75
Putney Bridge,Piccadilly Circus,-40,-51,-72
Warren Street,Waterloo,-40,-53,-72
Victoria,Finchley Central,-40,-65,-70
Dalston Junction,New Cross Gate,-40,-59,-64
Maida Vale,Chancery Lane,-40,-44,-64
Queen's Park,Elephant & Castle,-40,-53,-64
Archway,East Finchley,-40,-5,-62
Newbury Park,Mile End,-40,-44,-62
South Kensington,Aldgate East,-40,-55,-62
South Wimbledon,Angel,-40,-48,-61
Willesden Junction,Finchley Road & Frognal,-40,-41,-58
Bank and Monument,Hendon Central,-40,-55,-57
Gants Hill,Wanstead,-40,5,-57
Surrey Quays,West Croydon,-40,-52,-56
West Finchley,Old Street,-40,-44,-56
Barbican,Aldgate,-40,-46,-55
Parsons Green,Southfields,-40,-30,-55
Gunnersbury,West Hampstead,-40,-48,-54
Rayners Lane,Acton Town,-40,-39,-54
Uxbridge,Great Portland Street,-40,-42,-54
Covent Garden,King's Cross St. Pancras,-40,-43,-52
Osterley,Earl's Court,-40,-42,-52
Wembley Park,Northwood,-40,-36,-52
Southwark,White City,-40,-48,-51
South Woodford,Debden,-40,-28,-49
Richmond,Brondesbury Park,-40,-42,-48
Watford High Street,Queen's Park,-40,-48,-48
West Hampstead,Stanmore,-40,-45,-48
Euston Square,Wood Lane,-40,-45,-47
Woodgrange Park,Harringay Green Lanes,-40,-43,-46
Boston Manor,Hounslow Central,-40,-38,-44
Clapham North,Morden,-40,-41,-44
Gloucester Road,Heathrow Terminals 2 & 3,-40,-43,-44
Tower Gateway,Royal Victoria,-40,-43,-44
Warren Street,Brixton,-40,-43,-44
Totteridge & Whetstone,Old Street,-40,-40,-27
Hanger Lane,White City,-40,16,-26
Hendon Central,Angel,-40,-40,-20
Bushey,Watford Junction,-40,38,-17
High Barnet,Goodge Street,-40,-37,49
Alperton,Park Royal,-40,164,1065
Deptford Bridge,Bank and Monument,-39,-308,-416
Gloucester Road,Bank and Monument,-39,-128,-175
Manor House,Farringdon,-39,-3,-125
Mile End,Westminster,-39,-80,-108
East Ham,North Greenwich,-39,10,-106
High Street Kensington,Bank and Monument,-39,-73,-99
North Greenwich,Bermondsey,-39,-63,-96
Victoria,Archway,-39,-74,-91
Gloucester Road,Embankment,-39,-69,-80
Pinner,Harrow-on-the-Hill,-39,130,-80
Totteridge & Whetstone,London Bridge,-39,-50,-78
Euston,North Greenwich,-39,-70,-76
Caledonian Road,Piccadilly Circus,-39,-45,-74
Earl's Court,Ravenscourt Park,-39,-54,-71
Woodford,Leytonstone,-39,10,-70
Queens Road Peckham,Clapham High Street,-39,-42,-69
East Putney,Gloucester Road,-39,-31,-68
London City Airport,Tower Gateway,-39,-42,-67
Shadwell,Lewisham,-39,-57,-66
West Brompton,Blackfriars,-39,-53,-64
Canonbury,Gospel Oak,-39,-52,-63
Bermondsey,West Ham,-39,-55,-58
Finchley Road & Frognal,Gunnersbury,-39,-53,-58
Chalfont & Latimer,Moorgate,-39,-51,-57
Upney,West Ham,-39,-49,-57
East Acton,Marble Arch,-39,-40,-56
Leytonstone,Woodford,-39,-28,-56
Becontree,East Ham,-39,-24,-55
Leyton Midland Road,South Tottenham,-39,-29,-55
Ravenscourt Park,Gloucester Road,-39,-46,-54
West Acton,Chancery Lane,-39,-45,-53
Canons Park,St. John's Wood,-39,-39,-52
Kilburn Park,Charing Cross,-39,-46,-52
Latimer Road,Farringdon,-39,-44,-52
Sloane Square,Wimbledon,-39,-41,-52
Hounslow East,Boston Manor,-39,-17,-51
Totteridge & Whetstone,East Finchley,-39,-19,-49
Clapham Common,Morden,-39,-40,-48
Highbury & Islington,Forest Hill,-39,-47,-48
Dagenham East,Hornchurch,-39,-27,-46
Westminster,Canning Town,-39,-44,-45
Harrow & Wealdstone,North Wembley,-39,-29,-43
White City,Greenford,-39,-41,-43
North Harrow,Chorleywood,-39,-35,-42
Kilburn,Euston Square,-39,-33,-38
Barkingside,St. Paul's,-39,-41,-23
Bromley-by-Bow,Liverpool Street,-39,-17,12
Stratford,Abbey Road,-39,-7,33
Woolwich Arsenal,Pontoon Dock,-39,72,44
Wandsworth Road,Clapham Junction,-39,99,61
Upminster,Upminster Bridge,-39,89,177
Greenford,Northolt,-39,193,374
Edmonton Green,Liverpool Street,-39,-180,530
North Acton,White City,-39,131,546
Heathrow Terminals 2 & 3,Heathrow Terminal 5,-39,450,913
Turnham Green,Hammersmith,-39,521,2085
Whitechapel,Farringdon,-38,33,-298
Liverpool Street,Bethnal Green,-38,-131,-229
Hammersmith,St. James's Park,-38,-96,-172
Stockwell,Paddington,-38,-79,-144
Brixton,Seven Sisters,-38,-115,-141
Canonbury,Canada Water,-38,-121,-138
Tottenham Hale,Farringdon,-38,-31,-137
Waterloo,Queen's Park,-38,-93,-109
East Acton,Oxford Circus,-38,-41,-107
Paddington,Putney Bridge,-38,-67,-91
North Greenwich,Knightsbridge,-38,-67,-86
Canning Town,St. John's Wood,-38,-69,-84
Mill Hill East,Bank and Monument,-38,-52,-83
Queensbury,London Bridge,-38,-55,-81
Canada Water,Swiss Cottage,-38,-71,-80
East Acton,Bond Street,-38,-41,-79
Dollis Hill,London Bridge,-38,-51,-78
Clapham North,Tottenham Court Road,-38,-43,-75
Colindale,Charing Cross,-38,-55,-75
Neasden,London Bridge,-38,-51,-75
Upton Park,Bethnal Green,-38,-37,-71
Tower Hill,Great Portland Street,-38,-63,-70
Blackwall,Shadwell,-38,-59,-69
Richmond,Tower Hill,-38,-50,-65
King's Cross St. Pancras,Finchley Central,-38,-59,-64
Holland Park,Tottenham Court Road,-38,-47,-63
Hampstead Heath,Shepherd's Bush,-38,-53,-62
Gants Hill,Leyton,-38,-27,-61
White City,Marble Arch,-38,-35,-59
Arsenal,South Kensington,-38,-47,-57
Dollis Hill,St. John's Wood,-38,-22,-56
Vauxhall,Wood Green,-38,-53,-56
Warren Street,Charing Cross,-38,-46,-56
Stepney Green,Euston Square,-38,-45,-54
Wood Street,Hackney Downs,-38,-45,-53
Highgate,Hampstead,-38,-30,-52
London Bridge,Heathrow Terminals 2 & 3,-38,-50,-52
Hillingdon,Harrow-on-the-Hill,-38,-42,-50
Shadwell,Cyprus,-38,-48,-50
East Finchley,High Barnet,-38,-15,-49
Heron Quays,Island Gardens,-38,-47,-48
Notting Hill Gate,East Putney,-38,-43,-48
Ravenscourt Park,Mansion House,-38,-45,-46
Becontree,Upminster,-38,-39,-45
Chiswick Park,Mansion House,-38,-43,-45
Hounslow East,South Ealing,-38,-40,-45
Queensbury,Willesden Green,-38,-37,-45
Watford Junction,Kenton,-38,-42,-45
Bromley-by-Bow,Farringdon,-38,-29,-44
Bruce Grove,Cambridge Heath,-38,-42,-44
Leytonstone High Road,Crouch Hill,-38,-38,-44
West Brompton,Kensal Rise,-38,-40,-43
Theydon Bois,Debden,-38,10,-38
South Harrow,Richmond,-38,-21,22
Bounds Green,Wood Green,-38,294,24
Epping,Tottenham Court Road,-38,-38,28
Woodside Park,Goodge Street,-38,-39,46
Edgware,Goodge Street,-38,-39,49
Dollis Hill,Bond Street,-38,-30,105
Morden,Tottenham Court Road,-38,-30,240
Hainault,Bank and Monument,-38,-36,273
Headstone Lane,Harrow & Wealdstone,-38,128,291
East Putney,Southfields,-38,223,652
Heathrow Terminal 5,Heathrow Terminals 2 & 3,-38,420,878
Mile End,Farringdon,-37,8,-160
Colliers Wood,Canary Wharf,-37,-24,-121
Bank and Monument,Brixton,-37,-87,-108
Hendon Central,London Bridge,-37,-56,-104
East Ham,St. James's Park,-37,-76,-103
East Finchley,Finchley Central,-37,214,-90
Canada Water,Wembley Park,-37,-75,-87
Walthamstow Central,Caledonian Road,-37,-47,-86
Bermondsey,Paddington,-37,-60,-80
Canning Town,Wembley Park,-37,-68,-78
Swiss Cottage,Chancery Lane,-37,-44,-78
Stratford,Brondesbury Park,-37,-65,-75
Turnham Green,Piccadilly Circus,-37,-57,-75
Southfields,Edgware Road,-37,-57,-72
Theydon Bois,Stratford,-37,-43,-72
Southgate,Warren Street,-37,-37,-71
King George V,West Ham,-37,-66,-70
Tottenham Hale,Covent Garden,-37,-53,-70
West Kensington,Westminster,-37,-58,-70
Northwick Park,Moorgate,-37,-56,-68
Plaistow,Barbican,-37,-48,-65
Pimlico,Brixton,-37,-35,-62
Kentish Town,Leicester Square,-37,-42,-60
South Wimbledon,Tooting Bec,-37,-35,-60
Acton Central,Hampstead Heath,-37,-44,-59
Willesden Junction,Brondesbury Park,-37,-15,-58
Maida Vale,St. Paul's,-37,-45,-56
Whitechapel,Gunnersbury,-37,-52,-55
Woodford,Snaresbrook,-37,-6,-55
Acton Town,Knightsbridge,-37,-38,-54
Holland Park,Marble Arch,-37,-35,-53
Loughton,Bond Street,-37,-43,-53
Ravenscourt Park,Sloane Square,-37,-45,-52
Notting Hill Gate,Putney Bridge,-37,-44,-51
Perivale,North Acton,-37,8,-51
Preston Road,Aldgate,-37,-46,-51
Stockwell,Morden,-37,-44,-51
Bow Church,Cutty Sark,-37,-46,-50
Leyton,Woodford,-37,-40,-50
Oxford Circus,Elephant & Castle,-37,-46,-50
Tower Hill,Fulham Broadway,-37,-49,-50
Northwick Park,Euston Square,-37,-41,-49
Snaresbrook,Chancery Lane,-37,-39,-48
Knightsbridge,Canary Wharf,-37,-42,-47
Oxford Circus,Finsbury Park,-37,-44,-46
Leytonstone High Road,Harringay Green Lanes,-37,-36,-45
Liverpool Street,Manor Park,-37,-45,-45
St James Street,Clapton,-37,-30,-45
