station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Crystal Palace,Canada Water,-590,-616,-5
Vauxhall,Euston,-589,-644,-789
Tower Hill,Embankment,-588,-642,-659
London Bridge,Euston,-587,-767,-859
Baker Street,Farringdon,-583,-606,-708
East Ham,Whitechapel,-582,-579,-659
Euston Square,Liverpool Street,-579,-650,-745
Stratford,Caledonian Road & Barnsbury,-579,-635,-691
West Hampstead,Canary Wharf,-578,-618,-680
Tottenham Hale,Highbury & Islington,-573,-524,-797
Chadwell Heath,Stratford,-573,-192,-262
Canada Water,Waterloo,-571,-522,-950
Highbury & Islington,Hackney Central,-571,-532,-674
Shepherd's Bush,Liverpool Street,-567,-702,-802
Enfield Town,Seven Sisters,-564,-520,-743
Paddington,Canary Wharf,-562,-643,-772
Liverpool Street,Baker Street,-560,-726,-772
Waterloo,Tottenham Court Road,-560,-11,439
West Ham,Woolwich Arsenal,-558,-443,-591
Paddington,Moorgate,-557,-747,-861
Elephant & Castle,Oxford Circus,-554,-549,-804
Euston,Vauxhall,-553,-641,-690
Canada Water,Stratford,-552,-915,-1215
Victoria,Highbury & Islington,-552,-808,-930
Canary Wharf,London Bridge,-551,-662,-851
Peckham Rye,Clapham Junction,-550,-454,-630
London Bridge,Moorgate,-547,-641,-1603
Canary Wharf,Green Park,-547,-659,-721
Morden,Tooting Broadway,-542,-311,-667
Goodmayes,Stratford,-541,-359,-514
Denmark Hill,Clapham Junction,-541,-245,533
Becontree,Barking,-540,-223,1137
Canada Water,Southwark,-537,-679,-848
Paddington,King's Cross St. Pancras,-536,-429,-1112
Canary Wharf,Waterloo,-535,-633,-733
London Bridge,Stratford,-533,-928,-1012
Canning Town,London City Airport,-531,-467,-627
Bank and Monument,Tottenham Court Road,-530,-713,-903
Chingford,Walthamstow Central,-530,-429,-670
Euston,London Bridge,-529,-686,-770
Gants Hill,Stratford,-529,-297,415
Sydenham,Canada Water,-525,-595,-473
Seven Kings,Stratford,-523,-300,-734
Leytonstone,Stratford,-517,378,4248
Crossharbour,Bank and Monument,-516,-690,-730
Liverpool Street,Chancery Lane,-514,-660,-936
South Woodford,Stratford,-514,-308,732
Walthamstow Central,Vauxhall,-513,-542,-665
Stratford,St. Paul's,-513,-544,-171
Stratford,Tottenham Court Road,-512,-652,-953
Tower Hill,St. James's Park,-511,-563,-579
Tower Hill,Temple,-509,-538,-573
Poplar,Bank and Monument,-507,-723,-749
Balham,London Bridge,-507,-470,-221
Wimbledon,Fulham Broadway,-504,-465,-561
Bush Hill Park,Seven Sisters,-499,-523,-654
Tooting Broadway,Balham,-497,-8,-643
Sloane Square,Mansion House,-497,-516,-527
North Greenwich,Stratford,-496,-623,-1034
Upton Park,Whitechapel,-494,-487,-575
Paddington,Euston Square,-491,-383,-530
Charing Cross,Oxford Circus,-489,-375,-787
Charing Cross,Goodge Street,-489,-495,-551
St James Street,Liverpool Street,-487,-621,-699
Canning Town,London Bridge,-484,-605,-854
